symbol,candidate_k,bic,selected
SPX,2,-7284.0058075233155,False
SPX,3,-7734.455273628999,False
SPX,4,-7499.01208231497,False
SPX,5,-7838.951387599285,True
SPX,6,-7529.66909209007,False
NDX,2,-7036.768748090888,False
NDX,3,-7517.256940679779,True
NDX,4,-7258.5304050251725,False
NDX,5,-7017.88455852245,False
NDX,6,-7241.833665272615,False
