symbol,horizon,feature_set,model_name,rmse,mae,oos_r_squared_vs_atm,oos_r_squared_vs_historical_mean,n_forecasts
NDX,20,atm_term,historical_mean,0.0252971188638855,0.020374410261216,0.7669357433388898,0.0,1332
NDX,20,atm_term,linear_features,0.0253550435809949,0.020336261714495,0.7658671918252922,-0.004584793605445,1332
NDX,20,atm_term,gmm_regime_mean,0.025442137229455,0.0204914786951559,0.7642559540123348,-0.0114980708107963,1332
NDX,20,atm_term,trailing_realized_vol,0.0385605706203302,0.0307978626692167,0.4584725756771709,-1.323511258572109,1332
NDX,20,atm_term,atm_iv,0.0524002337522892,0.0433121441858331,0.0,-3.2906622161889967,1332
SPX,20,atm_term,historical_mean,0.0249237625604695,0.0202432071289731,0.7200202559844777,0.0,1332
SPX,20,atm_term,gmm_regime_mean,0.0249323140713392,0.0203047535879102,0.719828097151311,-0.0006863311981455,1332
SPX,20,atm_term,linear_features,0.0249991698345631,0.0203420412233815,0.7183235260162725,-0.0060601882974471,1332
SPX,20,atm_term,trailing_realized_vol,0.0361502850452774,0.0289807588763257,0.410989748249804,-1.1037602338744217,1332
SPX,20,atm_term,atm_iv,0.0471031877269749,0.039488491477489,0.0,-2.5716869572698764,1332
